Name,Website,Latitude,Longitude,Address Line 1,,Address Line 2,,City,State,Zip Code,Phone Number,Type,Accept Undocumented?
164 Wilson Pantry Food Bank,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=164WILSONPANTRYFOODBANKVolunteerServices_2_556_0,41.04753,-73.5503,164 Richmond Hill Avenue,,,,Stamford,CT,6901,203-348-9346,Abuse,YES
Abilis - Therapy Center,http://www.abilis.us/,41.06076,-73.5415,1150 Summer Street,,,,Stamford,CT,6901,203-348-9346,Abuse,
Abilis - Therapy Center,http://www.abilis.us/,41.06076,-73.5415,1150 Summer Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9096,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-663-6641,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-329-2929,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-324-6127,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6902,203-324-6127,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,1 203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-588-9100,Abuse,
Ari Of Connecticut,https://www.arict.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,,,Stamford,CT,6902,203-324-6127,Addiction,
Birthright Of Greater Stamford,http://birthright.org/greaterstamford/,41.05597,-73.5407,388 Summer Street,,2nd Floor,,Stamford,CT,6901,203-325-4193,Addiction,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,2nd Floor,,Stamford,CT,6850,203-356-1980,Addiction,
Building One Community,https://building1community.org/,41.04109,-73.5505,75 Selleck Street,,,,Stamford,CT,6905,203-323-8560,Addiction,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,,Stamford,CT,6901,203-621-3700,Addiction,YES
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,Suite 201,,Stamford,CT,o6901,203-358-8500,Addiction,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,,Stamford,CT,6902,203-655-4693,Children,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,,Stamford,CT,6901,203-921-4161,Children,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,,Stamford,CT,6901,203-921-4161,Children,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,Suite 14,,Stamford,CT,6902,203-359-2320,Children,
Child Guidance Center,https://www.stamfordct.gov/youth-services/pages/child-guidance-center-of-southern-ct,41.0564408,-73.5492526,"103 W Broad St, ",,,,Stamford,CT,6902,203-548-0602,Children,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,,Stamford,CT,6902,203-348-4294,Children,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,,Stamford,CT,6901,203-327-9419,Children,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,,Stamford,CT,6902,203-324-3167,Children,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,,Stamford,CT,6902,203-324-3167,Children,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,,Stamford,CT,6902,203-323-0681,Children,
Child Guidance Center Of Southern Connecticut - Stamford Satellite,https://www.stamfordct.gov/youth-services/pages/child-guidance-center-of-southern-ct,41.0564408,-73.5492526,103 West Broad Street,,,,Stamford,CT,6905,203-965-5708,Children,
Child Guidance Center Of Southern Connecticut - Stamford Satellite,https://childguidancect.org/,41.0564408,-73.5492526,103 West Broad Street,,,,Stamford,CT,6905,203-487-0980,Children,
Child Guidance Center Of Southern Connecticut - Stamford Satellite,https://childguidancect.org/,41.0564408,-73.5492526,103 West Broad Street,,,,Stamford,CT,6902,203-323-0681,Children,
"Children And Families, State Of Connecticut Department Of - Stamford Area Office",https://portal.ct.gov/DCF,41.04552,-73.5252,401 Shippan Avenue,,,,Stamford,CT,6906,203-975-9559,Children,
"Children And Families, State Of Connecticut Department Of - Stamford Area Office",https://portal.ct.gov/DCF,41.04552,-73.5252,401 Shippan Avenue,,Suite 400,,Stamford,CT,6904,203-351-8291,Children,
Clothes To Kids Of Fairfield County,https://clothestokidsfairfieldcounty.org/,41.0301,-73.52677,90 Fairfield Avenue,,Suite 400,,Stamford,CT,6902,203-351-8280,Children,
Clothes To Kids Of Fairfield County,https://clothestokidsfairfieldcounty.org/,41.0301,-73.52677,90 Fairfield Avenue,,Suite 400,,Stamford,CT,6904,203-964-1000,Children,
"Community Action Agency Of Western Ct, The - Stamford Site",http://caawc.org/,41.04358,-73.5385,34 Woodland Avenue,,Suite 400,,Stamford,CT,6907,203-351-8285,Children,
Community Health Center - Stamford,https://www.chc1.com/Locations/Stamford,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6901,203-977-5214,Children,
Community Health Center - Stamford,https://www.chc1.com/Locations/Stamford,41.05985,-73.5419,141 Franklin Street,,Suite 104,,Stamford,CT,6902,203-324-3167,Children,
