Name,Website,Latitude,Longitude,Address Line 1,,Address Line 2,City,State,Zip,Phone ,Type,Accept Undocumented?
Women'S Mentoring Network,https://wmninc.org/,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-348-9346,Abuse,YES
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,Stamford,CT,6901,203-348-9346,Abuse,
Optimus Health Care - Stamford Ambulatory Care Center - Healthy Start,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=OPTIMUSHEALTHCARESTAMFORDAMBULATORYCARECENTERHEALTHYSTARTCaseCareManagementforPregnantWomen_2_556_1,41.05821,-73.54257,1351 Washington Boulevard,,,Stamford,CT,6901,203-588-9100,Abuse,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6901,203-588-9100,Abuse,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,,Stamford,CT,6901,203-588-9100,Abuse,
"Stamford, City Of - Youth Services  Bureau",https://www.stamfordct.gov/youth-services,41.05149,-73.5431399,888 Washington Boulevard,,,Stamford,CT,6901,203-588-9100,Abuse,
Stamford Hospital - Health Call,https://www.stamfordhealth.org/,41.0558412,-73.554057,One Hospital Plaza,,,Stamford,CT,6901,203-588-9096,Abuse,
"Social Security Administration, United States - Stamford",http://www.socialsecurityoffices.info/city/ct-stamford,41.0550085,-73.53777,2 Landmark Square,,,Stamford,CT,6901,203-663-6641,Abuse,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6901,203-588-9100,Abuse,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,,Stamford,CT,6901,203-329-2929,Abuse,
Inroads/Fairfield-New Haven- Westchester Counties,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=INROADSFAIRFIELDNEWHAVENWESTCHESTERCOUNTIESCareerAwarenessJobTraining_2_556_1,41.05682,-73.54084,500 Summer Street,,,Stamford,CT,6901,203-324-6127,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-324-6127,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,1 203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-348-9346,Abuse,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-348-9346,Abuse,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6901,203-348-9346,Abuse,
Urban League Of Southern Connecticut,https://www.ulsc.org/,41.04415,-73.53869,137 Henry Street,,,Stamford,CT,6901,203-348-9346,Abuse,
Women'S Mentoring Network,https://wmninc.org/,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-588-9100,Abuse,
Saint Joseph Parenting Center,https://www.sjpcenter.org/,41.0488625,-73.5513051,90 Fairfield Avenue,,,Stamford,CT,6901,203-588-9100,Abuse,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,Stamford,CT,6902,203-324-6127,Addiction,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,2nd Floor,Stamford,CT,6901,203-325-4193,Addiction,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,2nd Floor,Stamford,CT,6850,203-356-1980,Addiction,
Child Guidance Center Of Southern Connecticut - Stamford Satellite,https://childguidancect.org/,41.0568988,-73.5363149,103 West Broad Street,,,Stamford,CT,6905,203-323-8560,Addiction,
Stamford Hospital - Health Call,https://www.stamfordhealth.org/,41.0558412,-73.554057,One Hospital Plaza,,,Stamford,CT,6901,203-621-3700,Addiction,YES
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,Suite 201,Stamford,CT,o6901,203-358-8500,Addiction,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6902,203-655-4693,Children,
"Stamford Public Schools, Adult And Continuing Education",https://www.stamfordadulted.org/,41.044795,-73.5427674,369 Washington Boulevard,,,Stamford,CT,6901,203-921-4161,Children,
University Of Connecticut - Stamford Branch,https://stamford.uconn.edu/,41.0556814,-73.5430087,One University Place,,,Stamford,CT,6901,203-921-4161,Children,
Americares Free Clinics - Stamford Clinic,https://www.americares.org/en/sub/afc/our-clinics/stamford/,41.04552,-73.52515,401 Shippan Avenue,,Suite 14,Stamford,CT,6902,203-359-2320,Children,
Community Health Center - Stamford,https://www.chc1.com/Locations/Stamford,41.05985,-73.5419,141 Franklin Street,,,Stamford,CT,6902,203-548-0602,Children,
Optimus Health Care - Fairgate Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-fairgate/,41.05186,-73.5517,138 Stillwater Avenue,,,Stamford,CT,6902,203-348-4294,Children,
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,Stamford,CT,6901,203-327-9419,Children,
Catholic Charities - Diocese Of Bridgeport - Senior Nutrition,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=CATHOLICCHARITIESDIOCESEOFBRIDGEPORTSENIORNUTRITIONSeniorNutritionProgram_2_556_1,41.04957,-73.5646,30 Myano Lane,,,Stamford,CT,6902,203-324-3167,Children,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,Stamford,CT,6902,203-324-3167,Children,
"Stamford, City Of - Senior Center",http://www.stamfordseniorct.org/,41.012939,-73.544656,888 Washington Boulevard,,,Stamford,CT,6902,203-323-0681,Children,
"Stamford Public Schools, Adult And Continuing Education",https://www.stamfordadulted.org/,41.044795,-73.5427674,369 Washington Boulevard,,,Stamford,CT,6905,203-965-5708,Children,
